"idclient","idcompany","idmember","idaccount","idcategory","defaultcategory","period_yyyymm","monthly_total"
1,"52","102293",INT3,Other,Other,"2024-03",31.65
1,"52","102293",INT3,Other,Other,"2024-02",125.85
1,"52","102293",INT3,Other,Other,"2024-01",7.00
1,"52","102293",INT3,Other,Other,"2023-12",2.81
1,"52","102293",INT3,Other,Other,"2023-11",2.00
1,"52","103406",INT106724,Other,Other,"2026-05",88362.42
1,"52","103406",INT106691,Other,Other,"2026-04",3338202.42
1,"52","103406",INT106724,Other,Other,"2026-04",21026951.82
1,"52","103406",INT96748,Other,Other,"2026-04",99724.72
1,"52","103406",INT96752,Other,Other,"2026-04",286051.76
1,"52","103406",INT96742,Other,Other,"2026-04",377301.24
1,"52","103406",INT96742,Other,Other,"2026-03",515699.36
1,"52","103406",INT96752,Other,Other,"2026-03",371736.34
1,"52","103406",INT96748,Other,Other,"2026-03",114429.98
1,"52","103406",INT106724,Other,Other,"2026-03",28000159.90
1,"52","103406",INT106691,Other,Other,"2026-03",5347201.18
1,"52","103406",INT106691,Other,Other,"2026-02",3735383.34
1,"52","103406",INT106724,Other,Other,"2026-02",21108005.84
1,"52","103406",INT96752,Other,Other,"2026-02",308233.90
1,"52","103406",INT96748,Other,Other,"2026-02",116910.70
1,"52","103406",INT96742,Other,Other,"2026-02",491549.80
1,"52","103406",INT96752,Other,Other,"2026-01",227329.30
1,"52","103406",INT96775,Other,Other,"2026-01",2.16
1,"52","103406",INT96748,Other,Other,"2026-01",112529.32
1,"52","103406",INT96742,Other,Other,"2026-01",584961.86
1,"52","103406",INT106691,Other,Other,"2026-01",4301902.04
1,"52","103406",INT106724,Other,Other,"2026-01",23498642.06
1,"52","103406",INT106724,Other,Other,"2025-12",27053524.58
1,"52","103406",INT106691,Other,Other,"2025-12",4923546.54
1,"52","103406",INT96775,Other,Other,"2025-12",2.16
1,"52","103406",INT96748,Other,Other,"2025-12",95203.82
1,"52","103406",INT96742,Other,Other,"2025-12",581182.26
1,"52","103406",INT96748,Other,Other,"2025-11",84670.34
1,"52","103406",INT96742,Other,Other,"2025-11",741332.40
1,"52","103406",INT96775,Other,Other,"2025-11",2.16
1,"52","103406",INT106691,Other,Other,"2025-11",3620491.48
1,"52","103406",INT106724,Other,Other,"2025-11",24173905.90
1,"52","103406",INT106724,Other,Other,"2025-10",32199646.34
1,"52","103406",INT106691,Other,Other,"2025-10",4546996.68
1,"52","103406",INT96775,Other,Other,"2025-10",2.16
1,"52","103406",INT96742,Other,Other,"2025-10",591498.32
1,"52","103406",INT96748,Other,Other,"2025-10",97058.22
1,"52","103406",INT96788,Other,Other,"2025-09",2200.00
1,"52","103406",INT96742,Other,Other,"2025-09",692981.22
1,"52","103406",INT96775,Other,Other,"2025-09",1004.16
1,"52","103406",INT96748,Other,Other,"2025-09",95207.88
1,"52","103406",INT106724,Other,Other,"2025-09",38110070.04
1,"52","103406",INT106691,Other,Other,"2025-09",5546602.00
1,"52","103406",INT106691,Other,Other,"2025-08",5464139.60
1,"52","103406",INT106724,Other,Other,"2025-08",39296132.68
1,"52","103406",INT96748,Other,Other,"2025-08",88272.62
1,"52","103406",INT96742,Other,Other,"2025-08",568315.70
1,"52","103406",INT96775,Other,Other,"2025-08",12.16
1,"52","103406",INT96748,Other,Other,"2025-07",128157.08
1,"52","103406",INT96742,Other,Other,"2025-07",1002869.40
1,"52","103406",INT96775,Other,Other,"2025-07",2.16
1,"52","103406",INT106724,Other,Other,"2025-07",42952207.68
1,"52","103406",INT106691,Other,Other,"2025-07",5261940.38
1,"52","103406",INT106724,Other,Other,"2025-06",35999482.00
1,"52","103406",INT106691,Other,Other,"2025-06",5116214.14
1,"52","103406",INT96785,Other,Other,"2025-06",24742.90
1,"52","103406",INT96775,Other,Other,"2025-06",65645.08
1,"52","103406",INT96738,Other,Other,"2025-06",17600.00
1,"52","103406",INT96748,Other,Other,"2025-06",212589.68
1,"52","103406",INT96743,Other,Other,"2025-06",739.98
1,"52","103406",INT96777,Other,Other,"2025-06",604.24
1,"52","103406",INT96778,Other,Other,"2025-06",677.86
1,"52","103406",INT96751,Other,Other,"2025-06",652.82
1,"52","103406",INT96810,Other,Other,"2025-06",28225.90
1,"52","103406",INT96811,Other,Other,"2025-06",36000.00
1,"52","103406",INT96827,Other,Other,"2025-06",171.72
1,"52","103406",INT96816,Other,Other,"2025-06",590.10
1,"52","103406",INT96742,Other,Other,"2025-06",2341505.76
1,"52","103406",INT96788,Other,Other,"2025-06",267.72
1,"52","103406",INT96784,Other,Other,"2025-06",97991.66
1,"52","103406",INT96818,Other,Other,"2025-06",735.56
1,"52","103406",INT96826,Other,Other,"2025-06",43860.14
1,"52","103406",INT96750,Other,Other,"2025-06",182872.56
1,"52","103406",INT96747,Other,Other,"2025-06",14580.50
1,"52","103406",INT96820,Other,Other,"2025-06",52886.78
1,"52","103406",INT96786,Other,Other,"2025-06",48843.38
1,"52","103406",INT96823,Other,Other,"2025-06",593.56
1,"52","103406",INT96809,Other,Other,"2025-06",28197.72
1,"52","103406",INT96754,Other,Other,"2025-06",425.90
1,"52","103406",INT96748,Other,Other,"2025-05",100677.00
1,"52","103406",INT96742,Other,Other,"2025-05",2488461.70
1,"52","103406",INT106724,Other,Other,"2025-05",26444350.88
1,"52","103406",INT106691,Other,Other,"2025-05",4626818.10
1,"52","103406",INT106724,Other,Other,"2025-04",12265958.16
1,"52","103406",INT106691,Other,Other,"2025-04",2113582.46
1,"52","103406",INT96748,Other,Other,"2025-04",152599.58
1,"52","103406",INT96752,Other,Other,"2025-04",113278.52
1,"52","103406",INT96742,Other,Other,"2025-04",927837.20
1,"52","103406",INT96751,Other,Other,"2025-03",440.54
1,"52","103406",INT96742,Other,Other,"2025-03",2477237.68
1,"52","103406",INT96752,Other,Other,"2025-03",339811.20
1,"52","103406",INT96775,Other,Other,"2025-03",24.32
1,"52","103406",INT96788,Other,Other,"2025-03",424.00
1,"52","103406",INT96784,Other,Other,"2025-03",1196.08
1,"52","103406",INT96748,Other,Other,"2025-03",65367.38
1,"52","103406",INT96781,Other,Other,"2025-03",1019.66
1,"52","103406",INT96823,Other,Other,"2025-03",186.50
1,"52","103406",INT96749,Other,Other,"2025-03",2717.48
1,"52","103406",INT106691,Other,Other,"2025-03",916563.58
1,"52","103406",INT106724,Other,Other,"2025-03",22775132.02
1,"52","103406",INT104579,Other,Other,"2025-02",196020.16
1,"52","103406",INT106691,Other,Other,"2025-02",2255201.22
1,"52","103406",INT102304,Other,Other,"2025-02",257370.32
1,"52","103406",INT106724,Other,Other,"2025-02",23588438.50
1,"52","103406",INT102306,Other,Other,"2025-02",94390.22
1,"52","103406",INT102305,Other,Other,"2025-02",48339.40
1,"52","103406",INT96815,Other,Other,"2025-02",53928.46
1,"52","103406",INT96826,Other,Other,"2025-02",137844.84
1,"52","103406",INT96809,Other,Other,"2025-02",103975.10
1,"52","103406",INT96810,Other,Other,"2025-02",154266.12
1,"52","103406",INT96811,Other,Other,"2025-02",110703.16
1,"52","103406",INT96827,Other,Other,"2025-02",42999.00
1,"52","103406",INT96741,Other,Other,"2025-02",2725311.44
1,"52","103406",INT96785,Other,Other,"2025-02",290210.32
1,"52","103406",INT96824,Other,Other,"2025-02",21367.06
1,"52","103406",INT96786,Other,Other,"2025-02",227475.88
1,"52","103406",INT96823,Other,Other,"2025-02",158260.44
1,"52","103406",INT96812,Other,Other,"2025-02",245382.00
1,"52","103406",INT96780,Other,Other,"2025-02",11078.32
1,"52","103406",INT96779,Other,Other,"2025-02",383166.28
1,"52","103406",INT96822,Other,Other,"2025-02",257857.06
1,"52","103406",INT96738,Other,Other,"2025-02",10800.00
1,"52","103406",INT96778,Other,Other,"2025-02",280600.12
1,"52","103406",INT96777,Other,Other,"2025-02",230512.16
1,"52","103406",INT96743,Other,Other,"2025-02",139211.82
1,"52","103406",INT96776,Other,Other,"2025-02",112060.44
1,"52","103406",INT96775,Other,Other,"2025-02",462265.22
1,"52","103406",INT96745,Other,Other,"2025-02",26757.94
1,"52","103406",INT96742,Other,Other,"2025-02",2214966.74
1,"52","103406",INT96774,Other,Other,"2025-02",248067.88
1,"52","103406",INT96772,Other,Other,"2025-02",163878.66
1,"52","103406",INT96813,Other,Other,"2025-02",5357.58
1,"52","103406",INT96771,Other,Other,"2025-02",39157.76
1,"52","103406",INT96754,Other,Other,"2025-02",19746.82
1,"52","103406",INT96746,Other,Other,"2025-02",196713.56
1,"52","103406",INT96781,Other,Other,"2025-02",258879.94
1,"52","103406",INT96753,Other,Other,"2025-02",14598.38
